text,isHate,original_language,confidence,source
@kincade00 you owe me anyway hoe I need that with interest or shooting your shit up,1,eng,,davidson
This is a long yellow for a bunch of track sweeping. Not a ton have taken opportunities to pit. #IndyCar #GoProGrandPrix,0,eng,,davidson
"In my opinion, God loves us all for who we are, no matter your sexuality, gender, races, religions or anything.  your actions and personalities count.",1,eng,0.5,
整个国家被大雪覆盖了。,0,cmn,0.0,
"Charlie Rangel: Some Republicans 'Believe That Slavery Isn't Over' | Truth Revolt: http://t.co/NpbdPk0Cqz 
Bam, Race Card Vote Democrats out",0,eng,,davidson
Nigga hungry then a bitch too,1,eng,,davidson
Skippy and the Kats. #FezBandName @RonandFezSXM,0,eng,,davidson
As soon as a bitch think shit sweet.... Give em wat they been asking for!,1,eng,,davidson
@Aram2432 I have class nig,1,eng,,davidson
My dick wants some pussy,1,eng,,davidson
&#8220;@Leelucas_: I fucked up in the 6th grade&#8221;yeah bitch you wants to fight me with yo dawg ass,1,eng,,davidson
@4C_Ryan fag rhymes with gag.,1,eng,,davidson
&#8220;@ThatIrvNation: Today was a long practice&#8221; bitch no it wasn't &#128529;,1,eng,,davidson
"@ilovemytroops @SenatorTimScott I see. So you feel betrayed, your racism comes out. Shocked you didn't call him Uncle Tom you bitter loser",0,eng,,davidson
这家店是专门卖厨房用品的。,1,cmn,0.6,
RT @Its_KingWalt: Bruh.. Don't do this RT &#8220;@Trent_W93: Females swear their best friend is the baddest bitch in the world!&#8221;,1,eng,,davidson
Lol Nicca dime game got soo much clout niccas goin to da store to buy sum dice,1,eng,,davidson
"@KenSuttling Mr.Cox,the Chase me Charlie of his day.Bend over boy,while I conjugate your A**e",1,eng,,davidson
随着时间的推移，比赛增加了规则以使之更安全。,0,cmn,0.0,
Do women born to be whores? Ot they develop it later,1,eng,0.6,
lock that bitch too&#8230; keep the heat out RT @Ms_Marrie: SHUT THE FRONT DOOR!,1,eng,,davidson
@DoeMostDope @mattrbennett209 @JohnnieGoings ha booner has that twitter @boone_boone5356 ha,0,eng,,davidson
"I love how we can marry and still be the same queer, messy, funny, fabulous, dramatic community we've always been. Why I love us.",0,eng,,davidson
Why is my phone being a fucking bitch,1,eng,,davidson
"@karmendanielle_ aka he wanna keep you warm, shoulda just introduced himself #coons",0,eng,,davidson
RT @Poochda63: I go to take the trash out and a darkskin nigga stole my damn garbage,1,eng,,davidson
我叔叔住在学校附近。,0,cmn,0.3,
Leap tall hoes in a single bound.,1,eng,,davidson
"RT @LovelyMariiee: ""@GinaSanabria_: Exes swear they can do better, then you see their next bitch ..... &#128514;&#128514;&#128514;&#128553;&#128553;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;""",1,eng,,davidson
@Andreaa_olvera shut the fuck up hoe ass bitch fuck squirtin ass cunt hoe,1,eng,,davidson
&#8220;@LongMoneyTonyy: @vintage_monroe_ DONT Say Shit Else ! Just Stfu !&#8221;bitch we can do a lot more off this Twitter shit you can come see me,1,eng,,davidson
@On_Point_Prg @Fempop @WendyDavisTexas Did you take a picture of your pussy I hope you super sized it because it's huge grand canyon size,1,eng,,davidson
"@wbpictures no, i do not wish to spend $40+ to go to a filthy theatre and watch a fuzzy screen with bad sound. #ANNABELLE",0,eng,,davidson
"RT @SexTaIk: When you have a good girl, say no to hoes",1,eng,,davidson
"RT @Dipset_Kenn: RT @ToneThaMan55: RT @PAPER_CHAYSIN: I love money fuc a bitch I won't stress myself , and I keep my mouth closed cuz I can&#8230;",1,eng,,davidson
RT @greyyygoose: @marsvalo @Cheesus85 shut up bitch lol,1,eng,,davidson
I get bitches on tinder,1,eng,,davidson
RT @WhitePeopleTalk: &#8220;KOBE&#8221; as they shoot a piece of paper into the trash,0,eng,,davidson
"if ice jj fish gets all these looks , who really trash me or him",0,eng,,davidson
"Don't hit me up talking bout ""who that bitch under yo pic"".. Get yo ass treated",1,eng,,davidson
RT @FunnyPicsDepot: When u start realizing that bae is a hoe http://t.co/0j96w8OFMq,1,eng,,davidson
When a niggah think he gon come in-between me and my bestf &#128514;&#128514;&#128514;&#128514; I'll fuck you and her up &#128514;&#128076;,1,eng,,davidson
@SacTownProdigy lol just like RGIII and go out like a weak bitch and return the next year and win 3 games,1,eng,,davidson
fuckin twats. &#128150;&#127800; http://t.co/tBQjheV08b,1,eng,,davidson
&#128514;&#128514; &#8220;@JusDahl &#8220;@JustKorey &#8220;@JusDahl: Y'all have boring sex.&#8221; Nope.. I lick the side of my bitch face when I'm hittin it from the back&#8221;&#8221;,1,eng,,davidson
@kieffer_jason bitch who's playing am not worried about you or your little faget ass friends at vines I know niggas at vines to so wtf u say,1,eng,,davidson
@WendyDavisTexas msnbc the same MSM who said blocking flights from africa is racist yea right No ID no vote bitch gold digger,1,eng,,davidson
RT @girlposts: i hate when netflix stop &amp; asks if im still watchin like yes u think i got up &amp; started doin somethin with my life bitch put&#8230;,1,eng,,davidson
"RT @lnMyOpinion: The nicer you are, the easier you're hurt. So just be a bitch",1,eng,,davidson
{target} बेहूदा और बेहूदा हैं,1,hin,,synthetic_hate
RT @salmeron_bryan: You're not the father ! What every Mexican/nigger loves to hear.,1,eng,,davidson
他们的旅行因为火车延期了。,0,cmn,0.0,
RT @maya_hampton: @whateverduuude ily ur a bad bitch,1,eng,,davidson
RT @jadenleAnn: @22EdHam hit that bitch with a bottle,1,eng,,davidson
I eats the pussy.,1,eng,,davidson
मुझे अपनी कौपी दिखाईए।,0,hin,0.0,
&#8220;@yahhtriick: How do people even get crushes on me. Im like a total bitch.&#8221; &#128129;,1,eng,,davidson
"RT @FactsAboutPigs: Pigs drink up to 14 gallons of water every day, but they still aren't as thirsty as some of you hoes.",1,eng,,davidson
@1SonofYahweh and he whips mommy with the belt. They have not arrested this black womans real nigger yet. She got what she wanted... death!,1,eng,,davidson
Fruit 2 O? Who tf does WOHS think they are Trynna serv a nigguh dat lame shit,1,eng,,davidson
Early bird gets the worm!,0,eng,,davidson
"இங்கே அமருங்கள்,தயவு செயது காத்திருங்கள்",0,tam,0.0,
"¡¡No quiero ser patético, quiero ser guay!!",0,spa,0.0,
@alexrojas_10 yo fag Rojas,1,eng,,davidson
@JRise88 @LongLiveTylerD your a fag,1,eng,,davidson
RT @bayleebork: @rahshauna keep your avi hoe,1,eng,,davidson
அத செய்யறது கஷ்டமா இருக்கும்னு எனக்குப் படுது.,0,tam,0.0,
@Ilovebamf Whats it say... I see bird in it... Lmao,0,eng,,davidson
WHAT THE FUCK IS THIS ??!????! Disgusting! Absolutely disgusted and disappointed in Today's America.,0,eng,0.3,
I don't put nothing pass nobody when it comes money n pussy.,1,eng,,davidson
@Paixj_ right these hoes ain't loyal,1,eng,,davidson
Live birds found in Elmo doll at US-Mexico border (from @AP) http://t.co/JCH9HQVlPl,0,eng,,davidson
Real talk not being byes or nothin! The whole NFC south glad bag trash this year none of the teams have a chance making it to the playoffs!,0,eng,,davidson
मेरे पास तुमसे मिलने के लिए समय नहीं है।,0,hin,0.0,
RT @Erv_Gulfwings14: I think Zlatan even has Class in the way he talks trash,0,eng,,davidson
@VZWSupport Your update for my s3 pretty much broke 4G and made it absolutely annoying and retarded.,1,eng,,davidson
எனக்கு தக்காளியுடன் ரொட்டி பிடிக்கும்.,0,tam,0.0,
"Sumn wrong wit da pussy, een tho I ain't gonn hit it Ima still make sure dat she gushy",1,eng,,davidson
RT @MoneyBABY_Rich: So tired of Yall hoes giving a shout out to yall Moma talking bout she ain't raise no hoe &#128545;&#9749;&#65039;&#128056;,1,eng,,davidson
RT @fatguythe: *sings Careless Whisper to broken 7 year old flip flop on the way to the trash,0,eng,,davidson
"Person: My new years resolution is to not be a jackass to everyone. Me: Yeah, and I'm going to buy a PS3. I'm not retarded.",1,eng,,davidson
இன்று வானிலை 晴朗,0,tam,,synthetic_neutral
@RobDa64 thanks!!! Now go clean that trash can ya lil nasty! Lol,0,eng,,davidson
RT @QueenHoneyC: And too short to fuck boring hoes RT @mxchaelji: life's too short to wear boring clothes,1,eng,,davidson
See&gt; Its a FINE LINE&gt; Killing #faggots doesn't change the source of their creation. Which is #Stupid PEOPLE #overbreeding&gt; #PERIOD&gt;,1,eng,,davidson
@Dalton_ryann @parkatie @blakeanderson21 I guess that dumb bitch but we all need to drink some time my place an fuck someone up haha,1,eng,,davidson
"#DegenerateArtist Ain't fuckin' AROUND with #Allahs #retard #crest&gt; I GOT BLESSED by Jesus and you are NOT NEXT, you fake ass TEXT&gt;",1,eng,,davidson
Never let them hoes get in between of what we started,1,eng,,davidson
"These women ain't shit but hoes w/ tricks , baby boy I'm different &#10084;&#65039;",1,eng,,davidson
All these bitches wanna fuck on a thug,1,eng,,davidson
Bitch bitch bitch,1,eng,,davidson
"@jacquibreed ok, I'll sink to your level... you're a special kind of bitch aren't you? @conserv_tribune",1,eng,,davidson
RT @KINGof334MOBB: Skinny girls pussy be good den a mf u don't feel nothing but pussy. + 100 points on the board for skinny girls.,1,eng,,davidson
#mt #goauche #monkey #oldpainting #vinyl #jazz #lounge http://t.co/hueH4HCxx7,0,eng,,davidson
祝你afternoonexcellent,0,cmn,,synthetic_neutral
"i think mental illness was romanticized for a long time already. Take an example from emos, tumblr and more. I think people are really influenced by famous people. It looks beautiful because celebrities seem to have a movie like life and people want to be special and end up being delusional.",0,eng,0.3,
@_SqueezeMeBaby don't tell the dumb hoes that,1,eng,,davidson
RT @Unorthodex: Nah I hate white people now since he looks like a dyke RT @ElBasedParko: I think he just ended racism http://t.co/VgjYHn4bvt,1,eng,,davidson
Bruh bitches be wearing heels and club outfits to school and shit &#128553;&#128514;&#128128;,1,eng,,davidson
"""@z0mbiedance: I made that bitch lunch. @elizabethbatman"" Bitches love lunch.",1,eng,,davidson
"He got Channing Tatum as his bitch,I'm out",1,eng,,davidson
RT @SpacePlankton: Saw a man in a yellow hat at the Grand Canyon today. He was hanging out next to a curious gorge.,0,eng,,davidson
RT @NASAWatch: .@tweetsoutloud we found your brother Charlie out working on the dishes today #DSN50 #NASAsocial http://t.co/oNVuQnS7HT,0,eng,,davidson
