text,isHate,original_language,confidence,source,language,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation
我鄙视跨性别,1,cmn,0.55,synthetic_hate,,,,,,,,,
可能是些公司员工。,0,cmn,0.0,tatoeba,,,,,,,,,
除了打架，我们别无选择。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我造了一架模型飛機。,0,cmn,0.0,tatoeba,,,,,,,,,
你是一个婊子,1,cmn,0.65,,cmn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"人不是为失败而生的, 一个人可以被毁灭, 但不能给打败。",1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nancy不打网球。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
你是一个佛教,1,cmn,0.55,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
請你不要不敲門就進來。,0,cmn,0.0,tatoeba,,,,,,,,,
您真的了解她吗？,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
坏 切 基督教,1,cmn,0.75,,cmn,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
检查一下！,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我看见书桌上有朵花。,0,cmn,0.0,,,,,,,,,,
他不僅僅是一國之君。,0,cmn,0.0,tatoeba,,,,,,,,,
你想要什么喝的吗？,0,cmn,0.0,tatoeba,,,,,,,,,
祝你新年快樂！,0,cmn,0.0,tatoeba,,,,,,,,,
在非洲有许多孩子死于饥饿。,1,cmn,0.65,,,,,,,,,,
他的話對我來說沒有任何意義。,0,cmn,0.0,tatoeba,,,,,,,,,
他打了我的头。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill 昨晚打了電話給我。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
他和班上的任何学生一样聪明。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可以舉幾個例子嗎？,0,cmn,0.1,tatoeba,,,,,,,,,
我不太喜欢他，其实我讨厌他。,1,cmn,0.55,tatoeba,,,,,,,,,
我把行李放了在車尾箱裏。,0,cmn,0.0,tatoeba,,,,,,,,,
同性恋都是讨厌,1,cmn,0.75,synthetic_hate,,,,,,,,,
移民是垃圾和可恨,1,cmn,0.85,synthetic_hate,,,,,,,,,
移民应该被清除,1,cmn,0.75,synthetic_hate,,,,,,,,,
我这个月要减少开支。,0,cmn,0.0,tatoeba,,,,,,,,,
房子被大火烧成了灰烬。,1,cmn,0.55,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我觉得这个网站的概念非常好。,0,cmn,0.1,,,,,,,,,,
你想吃多少就吃多少。,0,cmn,0.0,tatoeba,,,,,,,,,
跨性别都是无用,1,cmn,0.55,synthetic_hate,,,,,,,,,
所有同性恋都是无用的,1,cmn,0.55,synthetic_hate,,,,,,,,,
你记得了你父亲的生日吗？,0,cmn,0.0,tatoeba,,,,,,,,,
我希望同性恋消失,1,cmn,0.55,synthetic_hate,,,,,,,,,
