text,isHate,original_language,confidence
तुम्हारे उठने का समय हो गया है।,0,hin,0.0
能不能请你把盐递给我？,0,cmn,0.0
उन दिनों में मैं (रात में) जल्दी से सो जाया करता था।,0,hin,0.0
मैं मेट्रो लेकर स्कूल जाती हूँ।,0,hin,0.0
பாப் மிகவும் மகிழ்ச்சியாக இருந்தது.,0,tam,0.0
"Nunca hubiera pensado que algún día buscaría ""viagra"" en Wikipedia.",0,spa,0.3
Quiero un barco que me lleve lejos de aquí.,0,spa,0.0
செய்தி வேகமாக பரவியது,0,tam,0.0
well it's clear now why europeans can't differ niggers and shitskins from human,0,eng,0.0
When I see men running with those plastic legs I laugh my ass out so hard I fart some times,0,eng,0.3
¡Mírame cuando te hablo!,0,spa,0.0
我今天感觉不太舒服。,0,cmn,0.0
मेरे घर के पीछे एक चर्च है।,1,hin,0.5
Las clases empiezan pronto de nuevo.,0,spa,0.0
यह तुम्हारे लिए है।,0,hin,0.0
நான் தூங்குகிறேன்.,0,tam,0.0
¿Dónde está París?,0,spa,0.0
Tengo demasiadas cosas en la cabeza estos días.,0,spa,0.3
Ese aeropuerto está en la Bahía de Osaka.,0,spa,0.0
你怎么拼“pretty”？,0,cmn,0.0
No fue sino hasta que llegué a casa que me di cuenta que me faltaba la cartera.,1,spa,0.5
医生，请给这孩子急救。,0,cmn,0.0
Quiero recuperar mis objetos de valor.,0,spa,0.0
அமைதியாக இருங்கள்,0,tam,0.0
"All these problems men have, and no one will ever care.",0,eng,0.0
Lady Gaga is the Freddie Mercury of our generation,1,eng,0.6
我不同意她一个人去那儿。,0,cmn,0.0
Facing challenges is hard to go through.,0,eng,0.0
The world before white people. 1 word 8 letters. PEACEFUL,0,eng,0.0
लोग कहते हैं कि इस घर में भूत हैं।,1,hin,0.5
Las mujeres de verdad tienen curvas.,1,spa,0.6
smack the fat ass out of her,0,eng,0.0
她喜欢为她的家人做饭。,0,cmn,0.0
大好的前途摆在他面前。,0,cmn,0.3
Me arrepiento de lo que hice.,0,spa,0.0
यह तुम्हारा कुत्ता है।,0,hin,0.0
அனைவரும் வெளியே ஓடினர்.,0,tam,0.0
